REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2017,40,X,1.75721,X,X,X,X,X,X,698,85,39722
States,Alaska,2017,40,X,2.72675,X,X,X,X,X,X,141,17,5171
States,Arizona,2017,40,X,2.3554,X,X,X,X,X,X,406,42,17237
States,Arkansas,2017,40,X,0.812294,X,X,X,X,X,X,37,17,4555
States,California,2017,40,X,1.75421,X,X,X,X,X,X,852,102,48569
States,Colorado,2017,40,X,0.561578,X,X,X,X,X,X,129,42,22971
States,Connecticut,2017,40,X,1.04416,X,X,X,X,X,X,48,17,4597
States,Delaware,2017,40,X,0.0717875,X,X,X,X,X,X,2,13,2786
States,District of Columbia,2017,40,X,1.91672,X,X,X,X,X,X,284,5,14817
States,Florida,2017,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,40,X,1.83233,X,X,X,X,X,X,850,48,46389
States,Hawaii,2017,40,X,1.52722,X,X,X,X,X,X,23,16,1506
States,Idaho,2017,40,X,0.165289,X,X,X,X,X,X,2,5,1210
States,Illinois,2017,40,X,1.18308,X,X,X,X,X,X,571,79,48264
States,Indiana,2017,40,X,1.35701,X,X,X,X,X,X,68,24,5011
States,Iowa,2017,40,X,0.321543,X,X,X,X,X,X,12,14,3732
States,Kansas,2017,40,X,0.900286,X,X,X,X,X,X,66,30,7331
States,Kentucky,2017,40,X,0.727819,X,X,X,X,X,X,63,24,8656
States,Louisiana,2017,40,X,2.35775,X,X,X,X,X,X,1268,94,53780
States,Maine,2017,40,X,0.294985,X,X,X,X,X,X,9,20,3051
States,Maryland,2017,40,X,0.768398,X,X,X,X,X,X,71,40,9240
States,Massachusetts,2017,40,X,0.68067,X,X,X,X,X,X,186,46,27326
States,Michigan,2017,40,X,1.05751,X,X,X,X,X,X,290,81,27423
States,Minnesota,2017,40,X,1.42651,X,X,X,X,X,X,99,22,6940
States,Mississippi,2017,40,X,2.42836,X,X,X,X,X,X,450,46,18531
States,Missouri,2017,40,X,0.445236,X,X,X,X,X,X,20,18,4492
States,Montana,2017,40,X,0.165792,X,X,X,X,X,X,6,7,3619
States,Nebraska,2017,40,X,1.28434,X,X,X,X,X,X,108,48,8409
States,Nevada,2017,40,X,0.673618,X,X,X,X,X,X,115,34,17072
States,New Hampshire,2017,40,X,0.679222,X,X,X,X,X,X,22,17,3239
