TFMSC Report (Airport),,,,,
,,,,,
"From 01/01/2020 To 08/29/2020 | Airport=ATL, DFW, JFK, LAX, ORD | User Class=Air Carrier | Not Business Jet | Business Aviation=N",,,,,
Date,Airport,Flight Type,Aircraft Type,Departures,Departure Seats
1/1/20,ATL - Atlanta,US to Foreign,A332 - Airbus A330-200,2,506
1/1/20,ATL - Atlanta,US to Foreign,A333 - Airbus A330-300,5,"1,635"
1/1/20,ATL - Atlanta,US to Foreign,A346 - Airbus A340-600,1,372
1/1/20,ATL - Atlanta,US to Foreign,A359 - Airbus 350-900,2,628
1/1/20,ATL - Atlanta,US to Foreign,B744 - Boeing 747-400,1,480
1/1/20,ATL - Atlanta,US to Foreign,B748 - Boeing 747-8,1,364
1/1/20,ATL - Atlanta,US to Foreign,B763 - Boeing 767-300,4,920
1/1/20,ATL - Atlanta,US to Foreign,B764 - Boeing 767-400,5,"1,225"
1/1/20,ATL - Atlanta,US to Foreign,B772 - Boeing 777-200,3,860
1/1/20,ATL - Atlanta,US to Foreign,B77L - Boeing 777-200LRF/LR,4,"1,080"
1/1/20,ATL - Atlanta,US to Foreign,B77W - Boeing 777-300ER,1,224
1/1/20,ATL - Atlanta,US to Foreign,B78X - Boeing 787-10 Dreamliner,1,323
1/1/20,ATL - Atlanta,US to Foreign,B752 - Boeing 757-200,10,"2,000"
1/1/20,ATL - Atlanta,US to Foreign,A319 - Airbus A319,3,372
1/1/20,ATL - Atlanta,US to Foreign,A320 - Airbus A320 All Series,1,150
1/1/20,ATL - Atlanta,US to Foreign,A321 - Airbus A321 All Series,1,185
1/1/20,ATL - Atlanta,US to Foreign,B712 - Boeing 717-200,1,116
1/1/20,ATL - Atlanta,US to Foreign,B737 - Boeing 737-700,7,910
1/1/20,ATL - Atlanta,US to Foreign,B738 - Boeing 737-800,7,"1,120"
1/1/20,ATL - Atlanta,US to Foreign,B739 - Boeing 737-900,25,"4,500"
1/1/20,ATL - Atlanta,US to Foreign,B789 - Boeing 787-9 Dreamliner,1,280
1/1/20,ATL - Atlanta,US to Foreign,E75S - Embraer 175,4,344
1/1/20,ATL - Atlanta,US to Foreign,MD88 - Boeing (Douglas) MD 88,3,456
1/1/20,ATL - Atlanta,Domestic,A333 - Airbus A330-300,4,"1,340"
1/1/20,ATL - Atlanta,Domestic,B744 - Boeing 747-400,1,480
1/1/20,ATL - Atlanta,Domestic,B748 - Boeing 747-8,2,728
1/1/20,ATL - Atlanta,Domestic,B763 - Boeing 767-300,9,"2,070"
1/1/20,ATL - Atlanta,Domestic,B77L - Boeing 777-200LRF/LR,3,810
1/1/20,ATL - Atlanta,Domestic,B752 - Boeing 757-200,52,"10,400"
1/1/20,ATL - Atlanta,Domestic,B753 - Boeing 757-300,6,"1,440"
1/1/20,ATL - Atlanta,Domestic,A20N - Airbus A320 Neo,10,"1,650"
1/1/20,ATL - Atlanta,Domestic,A319 - Airbus A319,23,"2,906"
1/1/20,ATL - Atlanta,Domestic,A320 - Airbus A320 All Series,45,"6,834"
1/1/20,ATL - Atlanta,Domestic,A321 - Airbus A321 All Series,65,"11,950"
1/1/20,ATL - Atlanta,Domestic,B712 - Boeing 717-200,112,"12,992"
1/1/20,ATL - Atlanta,Domestic,B737 - Boeing 737-700,94,"12,220"
1/1/20,ATL - Atlanta,Domestic,B738 - Boeing 737-800,51,"8,166"
1/1/20,ATL - Atlanta,Domestic,B739 - Boeing 737-900,62,"11,160"
1/1/20,ATL - Atlanta,Domestic,E75L - Embraer 175,10,860
1/1/20,ATL - Atlanta,Domestic,E75S - Embraer 175,2,172
1/1/20,ATL - Atlanta,Domestic,MD88 - Boeing (Douglas) MD 88,62,"9,424"
1/1/20,ATL - Atlanta,Domestic,MD90 - Boeing (Douglas) MD 90,42,"6,300"
1/1/20,ATL - Atlanta,Domestic,CRJ2 - Bombardier CRJ-200,36,"1,800"
1/1/20,ATL - Atlanta,Domestic,CRJ7 - Bombardier CRJ-700,4,280
1/1/20,ATL - Atlanta,Domestic,E170 - Embraer 170,7,490
1/1/20,ATL - Atlanta,Domestic,E190 - Embraer 190,6,540
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A333 - Airbus A330-300,1,295
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A35K - Airbus A350-1000,1,369
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A388 - Airbus A380-800,1,550
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,B772 - Boeing 777-200,4,"1,220"
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,B77W - Boeing 777-300ER,7,"1,568"
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,B752 - Boeing 757-200,1,200
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A20N - Airbus A320 Neo,1,165
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A319 - Airbus A319,7,874
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A320 - Airbus A320 All Series,2,300
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,A321 - Airbus A321 All Series,2,370
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,B738 - Boeing 737-800,26,"4,160"
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,B788 - Boeing 787-800,5,"1,210"
1/1/20,DFW - Dallas/Ft. Worth,US to Foreign,B789 - Boeing 787-9 Dreamliner,5,"1,400"
